Games,Team,Goals,Shots,Code
20,Arsenal,34,312,ARS
20,Everton,36,266,EVE
20,Tottenham,34,307,TOT
20,Leicester,37,269,LEI
20,Southampton,26,290,SOU
20,"Man United",24,231,MUN
20,"Aston Villa",16,202,AVL
20,"Man City",39,346,MCI
20,Newcastle,19,186,NEW
20,Liverpool,22,323,LIV
20,Chelsea,26,277,CHE
20,"West Brom",20,192,WBA
20,Norwich,23,225,NOR
20,"Crystal Palace",23,246,CRY
20,Sunderland,22,217,SUN
20,"West Ham",30,272,WHU
20,Watford,25,241,WAT
20,Stoke,21,219,STK
20,Swansea,17,233,SWA
20,Bournemouth,22,247,BOU
